album_name,release_date
the tortured poets department: the anthology,2024-04-19
the tortured poets department,2024-04-18
1989 (taylor's version) [deluxe],2023-10-27
1989 (taylor's version),2023-10-26
speak now (taylor's version),2023-07-07
midnights (the til dawn edition),2023-05-26
midnights (3am edition),2022-10-22
midnights,2022-10-21
red (taylor's version),2021-11-12
fearless (taylor's version),2021-04-09
evermore (deluxe version),2021-01-07
evermore,2020-12-11
folklore: the long pond studio sessions (from the disney+ special) [deluxe edition],2020-11-25
folklore (deluxe version),2020-08-18
folklore,2020-07-24
lover,2019-08-23
reputation,2017-11-10
reputation stadium tour surprise song playlist,2017-11-09
1989 (deluxe),2014-01-01
1989,2014-01-01
red (deluxe edition),2012-10-22
red,2012-10-22
speak now world tour live,2010-10-25
speak now,2010-10-25
speak now (deluxe package),2010-01-01
fearless (platinum edition),2008-11-11
fearless,2008-11-11
live from clear channel stripped 2008,2008-06-28
taylor swift (deluxe edition),2006-10-24
