album_name,album_release,track_name,track_number,single_release,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,key_name,mode_name,key_mode,popularity
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Fortnight (feat. Post Malone),1,2024-04-19,False,,,,,,,,,,,,,,C,Minor,C Minor,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Tortured Poets Department,2,2024-04-19,True,,,,,,,,,,,,,,C,Minor,C Minor,72
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,My Boy Only Breaks His Favorite Toys,3,2024-04-19,False,,,,,,,,,,,,,,C,Minor,C Minor,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Down Bad,4,2024-04-19,True,,,,,,,,,,,,,,C,Minor,C Minor,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,"So Long, London",5,2024-04-19,False,,,,,,,,,,,,,,C,Minor,C Minor,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,But Daddy I Love Him,6,2024-04-19,True,,,,,,,,,,,,,,C,Minor,C Minor,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Fresh Out The Slammer,7,2024-04-19,False,,,,,,,,,,,,,,C,Minor,C Minor,71
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Florida!!! (feat. Florence + The Machine),8,2024-04-19,True,,,,,,,,,,,,,,C,Minor,C Minor,71
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Guilty as Sin?,9,2024-04-19,False,,,,,,,,,,,,,,C,Minor,C Minor,75
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Who’s Afraid of Little Old Me?,10,2024-04-19,False,,,,,,,,,,,,,,C,Minor,C Minor,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,I Can Fix Him (No Really I Can),11,2024-04-19,False,,,,,,,,,,,,,,C,Minor,C Minor,69
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,loml,12,2024-04-19,True,,,,,,,,,,,,,,C,Minor,C Minor,73
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,I Can Do It With a Broken Heart,13,2024-04-19,True,,,,,,,,,,,,,,C,Minor,C Minor,74
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Smallest Man Who Ever Lived,14,2024-04-19,True,,,,,,,,,,,,,,C,Minor,C Minor,73
